name|country|booth|categories|phone|certs|exports_compact
GOLDEN OCEAN SEAFOOD CO.,LTD|Viet Nam|-|PAN,SEA,SHR,SQD,TUN,VAP|0918169147|-|US+5
GOLDENWIND FOOD COMPANY|South Korea|-|-|82+33-462-5882|-|US,VN+1
GOREMI CO., LTD|South Korea|-|SEA|+82-10-8229-12|-|-
Guangdong Easyweigh Equipment Co.,Ltd.|China|-|EQP|+86760-8996340|FDAcode|US,VN+15
GUANGDONG HANGXIN TECHNOLOGY CO., LTD.|China|-|AQU|+86-753-267299|ISO|VN+13
Guangdong Shanhu Group Co., Ltd.|China|-|EQP|+86-757-837800|BSCI,ISO|VN+3
HAEGANG CO ., LTD|South Korea|-|-|+82-31-638-428|-|-
HAI NAM|Viet Nam|-|SEA,SQD,TUN,VAP|(84.28)3822273|BRC,MSC,ASC,FDAcode,IS|KR,JP,US+1
HANAFISH|Viet Nam|-|PAN|+842773833336|BRC,IFS,HALAL,HACCP,AS|CN+13
HANSEN|United States|-|EQP|0902487369|-|-
HCT|Viet Nam|-|-|0912817382|-|-
HD FROZEN|Viet Nam|-|PAN,SEA,TUN|+84982787074|-|+3
HEADWAY JSC|Viet Nam|-|OTH|(+84)282200556|-|JP,CN,US+1
Henan Rongda Food Science and Technology Co., Ltd.|China|-|SEA,SHR,SQD,VAP|+86-371-680800|ISO|VN+3
HenRy Dry Cooler·China|China|-|EQP|+86-519-896258|ISO|US,VN+5
HERMES VIET NAM MACHINERY COMPANY (HANBELL VIETNAM)|Viet Nam|-|EQP,OTH|02723769688|ISO|KR,CN,VN+3
HHFISH|Viet Nam|-|PAN|0909496999,093|BRC,HACCP,HALAL,ISO|CN+17
HIEU NAM INTERNATIONAL CO., LTD|Viet Nam|-|KHAC,PAN,SEA,SHR,SQD,TUN|02836200489|HACCP,HALAL,BRC|-
Highland Agro Food Pvt Ltd|India|-|-|+917978975994|ASC,BAP,BRC,BSCI,HACCP|-
HIWELL MACHINERY|China|-|EQP|8617805318933|HACCP,ISO,EUcode|US,VN+17
HOANG CAM TRADING MANUFACTURING CO., LTD|Viet Nam|-|KHAC,SEA,SQD|+84.28.3980172|HALAL,ISO,FDAcode,HACC|JP
HOANG THINH FOOD CO., LTD|Viet Nam|-|SEA,SQD|0785553553|FDAcode,HACCP|KR,CN
HOANG THINH FOOD CO., LTD|Viet Nam|-|SEA|0785553553|HACCP,FDAcode|KR,CN
HOA THANG SEAFOOD COMPANY LIMITED|Viet Nam|-|SEA|0911709786|EUcode,HALAL,HACCP,ISO|KR+3
Hội đồng Xuất khẩu Đậu nành Hoa Kỳ|Viet Nam|-|KHAC|0939552768|-|-
HP-valves|Viet Nam|-|-|0903691673|-|-
Hubei Liantou Biotechnology Co.,Ltd|China|-|VAP|+8613166102802|HALAL,ISO,KOSHER|VN+4
HUBEI XINGFA CHEMICALS GROUP CO.,LTD.|China|-|VAP|86-15072561362|BRC,HALAL,ISO,KOSHER|KR,JP,US,VN+4
Huludao Chunhe Food Co.,Ltd.|China|-|SEA,SQD|86-429-6546666|BAP,BRC,FDAcode,HACCP,|US,VN+6
HUNG CA COMPANY LIMITED|Viet Nam|-|-|0919136606|-|-
HUNG CUONG ENGINEERING AND TRADING COMPANY LIMITED|Viet Nam|-|-|0972041017|-|-
Hung Hau|-|-|-|19002114.|-|-
HUNG HAU AGRICULTURAL CORPORATION|Viet Nam|-|PAN,SEA,SHR,SQD,VAP|+84963130333|BRC,FDAcode,HALAL,ISO,|KR,JP+6
HUNGTRI JSC|Viet Nam|-|EQP|0838352741|ISO,9001,2015|VN
ICESOURCE|China|-|EQP|00865138663068|ISO|KR,VN+1
Innovation Norway|-|-|-|0912067620|-|-
INTERFISH COMPANY LIMITED|Viet Nam|-|PAN|+84916364367|BRC,HALAL,HACCP,ASC,SM|CN+12
Jiexun Tech|China|-|EQP|+8613905440390|-|VN
JINYANG SEAFOOD|Viet Nam|-|SEA,SHR,SQD,VAP|8618500479998|HACCP|KR,JP,CN+4
JUN FAN FOODS CO.,LTD|Viet Nam|-|SEA,SHR,SQD|0938758777|BRC,HACCP,HALAL,ISO,MS|KR,JP,CN+1
KBRI Hanoi|Indonesia|-|SEA|0983468938|-|-
K-FISH / K-SEAFOOD|South Korea|-|SEA,SQD,TUN|02838226076|-|VN
KIEN CUONG SEAFOOD|Viet Nam|-|SEA,SHR,SQD|842973616777|BRC,HACCP,HALAL|-
Kingsun Foods Co.,Ltd|China|-|SEA,SQD|+86-1856269868|ASC,BAP,BRC,EUcode,FDA|KR,JP,US,VN+11
Kirloskar Pneumatic Company Limited|India|-|KHAC|+91-9850969402|-|-
KONOIKE VINATRANS LOGISTICS CO.,LTD.|Viet Nam|-|KHAC|+84283.8722.84|-|-
KUSARORU FOODS|Singapore|-|PAN,SEA,SQD,TUN|+6592320677|ASC,BAP,BRC,FDAcode,HA|CN,VN+2
Leebanjang, THE GIM|South Korea|-|SEA|+82-10-3433-44|HACCP,HALAL|CN,VN+4
Lenger Seafoods VietNam Company Limited|Viet Nam|-|AQU,SEA|0903501145|FSSc22000;IFSFoods,SA8|KR,JP,US+5
LIAONING CHENGYUE MINERAL GROUP CO.,LTD|China|-|EQP|+86-1350400923|-|VN
LICHENG AQUATIC PRODUCT FOODSTUFF CO.,LTD.SHISHI|China|-|SEA,SQD,TUN,VAP|0086-595-88921|HACCP,HALAL,ISO|VN+3
LOTUS VIET DESIGN AND COMMUNICATION CO LTD|Viet Nam|-|-|0936166198|-|-
MAKEFOOD FUTURE CO., LIMITED|China|-|SEA,SQD|86-13176511753|ASC,BRC,FDAcode,MSC|VN+9
Manik Engineers|-|-|-|+919823087626|-|-
MEKONG SEAFOOD CONNECTION|Viet Nam|-|PAN,SEA,SHR,SQD,TUN,VAP|+84903872469|ASC,BAP,BRC,HACCP,Glob|-
MENT AUTOMATION|Viet Nam|-|EQP|0947971133|-|VN+7
Mia|-|-|-|15508998142|-|-
Minh Phu Seafood Corp|Viet Nam|-|-|02903838262|-|-
MULTIVAC VIETNAM|Viet Nam|-|EQP|0971961110|CE,GS|-
NAMDUNG JOINT STOCK COMPANY - Công ty Cổ phần Năm Dũng|Viet Nam|-|EQP,PAN,SEA,SHR,SQD,TUN,VAP|0964334996|-|+6
Nantong Huapu Biotech Co.,Ltd.|China|-|VAP|0086-513-68581|HALAL,ISO|JP,US,VN+3
NAVICO|Viet Nam|-|PAN|+842963834060|ASC,BRC,HACCP,HALAL,IF|CN,US,VN+25
Neo Foodtech Co., Ltd|Viet Nam|-|EQP,PAN,SEA,SHR,TUN|0938068768|-|VN
NEW DIAMOND MACHINERY CO., LTD|Viet Nam|-|-|028.39625467(e|-|-
NHA TRANG SEAFOODS|Viet Nam|-|PAN,SHR|(+84)583831033|-|US
NINGBO GALAXY TRADE CO., LTD|China|-|EQP|86-574-8309620|-|VN+5
NORD MILE PREMIUM SEAFOOD|Russian Federa|-|KHAC,SEA,SHR,SQD,VAP|+79851353969|-|CN+5
Norwegian Seafood Federation|-|-|-|+4741637603|-|-
NVD Seafood Company Limited|Viet Nam|-|SEA|0886775952|BRC,HACCP,HALAL|KR,CN,US+5
OFCO GROUP|Viet Nam|-|PAN,SEA,SHR,SQD,TUN,VAP|0914391056|-|KR,US+46
Optimar|Norway|-|AQU,EQP,PAN,SHR,TUN|+4770108000|-|VN+2
Pacificlab|Viet Nam|-|EQP|0986352588|-|-
PHAN BACH JSC|Viet Nam|-|EQP|0795168816|-|-
PHARMAQ VIỆT NAM|Viet Nam|-|PAN|02862845366|-|-
Phoenix Materials|China|-|EQP|8615192005290|-|JP,US,VN+4
PHU DAI LOI CO., LTD|Viet Nam|-|EQP|(028)38421913|-|-
PHUONG DONG FOOD PROCESSING EXPORT CO.,LTD.|Viet Nam|-|PAN,SEA|02923841707|BRC,HACCP,HALAL|JP,CN+12
Phượng Hoàng Lam|Viet Nam|-|-|0911330433|-|-
PICO- HO CHI MINH Co., Ltd|Singapore|-|-|0918122380|-|-
QCR|China|-|EQP|86-15221929328|ISO|VN+11
QINGDAO HIRISE FOOD TECHNOLOGY CO.,LTD.|China|-|VAP|00861340532513|-|VN
QINGDAO MEIXING FOODS CO., LTD.|China|-|SEA|+8619053232993|BSCI,HACCP,ISO,MSC|KR,JP,CN,VN+3
Qingdao Panda Packaging Co.,Ltd.|China|-|VAP|+86-532-898961|BRC,ISO|+4
QINGDAO RISEN PACKING INDUSTRIAL CO., LTD.|China|-|EQP,VAP|00865326773051|BRC,HALAL,ISO,KOSHER,S|KR,US,VN+5
Qingdao Seaflying Food Co.,Ltd|China|-|PAN,SEA,SHR,SQD,VAP|0086-532-88256|BAP,BRC,FDAcode,HACCP,|US+5
QinHuangDao ChengLong Frozen Food Co.,Ltd|China|-|SEA|86-335-2210599|HACCP,ISO|KR,VN+3
QINHUANGDAO GANGWAN AQUATIC PRODUCTS CO., LTD.|China|-|SEA,SHR,VAP|86-335-2085199|BAP,BRC,HACCP,SMETA,HA|KR,US+6
Qinhuangdao Huiyang Aquatic Products Co., Ltd.|China|-|SEA,SQD|+86-335-203699|-|KR,US+2
QMK GROUP|-|-|-|0911543118|-|-
Quanzhou Tianfa Food Machinery Co.,Ltd|China|-|EQP|+8613599231319|-|KR,VN+5
QUANZHOU ZHENGQISHENG FOODS TECHNOLOGY CO.,LTD.|China|-|SEA,SQD|00861386018938|HACCP|KR,VN+15
Que Ky Foods Corporation|Viet Nam|-|PAN|0902811933|-|-
QUE KY FOODS CORPORATION|Viet Nam|-|PAN|8402923855899|BRC,HALAL,EUcode,HACCP|JP,CN+16
QUOC VIET CORPORATION|Viet Nam|-|SHR|84915888146|BSCI,BRC,IFS,HACCP,ISO|KR,JP,CN,US+10
RIZHAO DINGSHUN FOODSTUFF CO.,LTD.|China|-|SEA,SQD|+8618963392068|BRC,EUcode,FDAcode,HAC|KR,US,VN+56
Rizhao Xintian CNC Machinery Co., Ltd.（YUKE Machinery）|China|-|EQP|+8618663331111|-|KR,JP,US,VN+10
RUNKANG SEAFOOD|China|-|SEA|00861865073078|-|VN+3
SADIKLAR|Turkey|-|SEA,VAP|+905418453696|-|KR,JP,CN,VN+1
SAEUPYO|South Korea|-|KHAC,SEA|+8210-5310-370|-|-
SÀI THÀNH FOODS|Viet Nam|-|PAN,SEA,SQD,TUN,VAP|+842838165488|-|US
SAKYFOODS|Viet Nam|-|PAN,SEA,SHR,SQD,VAP|0909055152|HACCP,ISO,HALAL,IFS,AS|KR+6
SALMAR|Norway|-|SEA|0988812210|-|VN
SAVVY SEAFOOD VIETNAM CO.,LTD|Viet Nam|-|SHR|0363488121|FDAcode,HACCP,BRC|US+1
ScaleAQ Co., Ltd|-|-|EQP|0914455258|-|+5
Seagift Co., Ltd|Viet Nam|-|SEA,SHR,SQD,VAP|842743758341|ISO,BRC,HALAL,SMETA,EU|KR,US+5
SEAPRODEX|Viet Nam|-|OTH,SEA,SHR,SQD,TUN,VAP|0767814758|ASC,BRC,Naturland,Glob|JP+3
Seaspimex Vietnam|Viet Nam|-|KHAC,SEA|0888792727|BRC,KOSHER,HALAL,HACCP|KR,JP,US+2
Seogwipo-suhyup|South Korea|-|-|+821030360723|-|-
SG SAGAWA VIETNAM|Viet Nam|-|KHAC|1900545596|-|-
SGS Việt Nam|Viet Nam|-|AQU|+842839351920|ISO,BAP,ASC,BRC,BSCI,K|-
SHANDONG HAIDU OCEAN PRODUCT CO.,LTD.|China|-|SQD|0086-631-73290|BRC,EUcode,FDAcode,HAC|KR,JP,US,VN+31
Shandong Lekon Intelligent Equipment Co., Ltd.|China|-|EQP|8615153621555|-|KR,US,VN+10
SHANDONG MAIBTE POWER TECHNOLOGY CO., LTD|China|-|EQP|8617866937966|-|VN+4
Shandong Xiaokang Machinery Co., Ltd.|China|-|EQP|+86-536-606536|ISO|KR,US,VN+5
SHANGHAI BAOFENG MACHINERY MANUFACTURING CO.,LTD.|China|-|EQP|86-21-36161585|ISO|VN+10
SHAOXING JIESHENG FOOD MACHINE TECHNOLOGY CO.,LTD.|China|-|EQP|0086-189895617|EUcode,ISO|KR,US,VN+22
SHIMAKYU CO.,LTD.|Thailand|-|OTH,VAP|(+66)34885190|HACCP,HALAL,ISO,BSCI|KR,JP,CN,US,VN+11
SHISHI CHANGFAQIXIANG FOOD CO., LTD|China|-|SEA|8613599782660|-|VN+7
SHISHI MINSHIXIANG AQUATIC PRODUCTS CO.,LTD|China|-|SEA,SQD|8618659933377|-|VN+4
SHISHI ZHENGYUAN AQUATIC PRODUCT SCIENCE & TECHNOLOGY DEVELOPM|China|-|SEA,SQD|86-595-8849079|HACCP,HALAL|KR,JP,VN+2
Showa Sangyo|Japan|-|-|02543952900|-|-
SIMMYSEAFOOD|Viet Nam|-|AQU,SEA,VAP|02723779360|ASC,BRC,HACCP,FDAcode,|JP,CN+2
Skretting|-|-|-|84903970974|-|-
SLS Company Co., Ltd.|South Korea|-|KHAC,PAN,SEA,SQD,VAP|+82262917177|-|-
SLS COMPANY CO., LTD|South Korea|-|-|+2-6291-7177|-|-
SMARTTECH|Viet Nam|-|EQP|02873003603-19|-|KR,JP,CN,US,VN+2
SNOWMAN GROUP|China|-|EQP|+86-591-287011|-|KR,JP,VN+7
SOBICO|Viet Nam|-|PAN|0918549695|EUcode,FDAcode,HACCP,H|-
Sojitz Kokubu Logistics Solution LLC|Viet Nam|-|KHAC|02726271111|-|-
SOUTHEREE CO., LTD.|Viet Nam|-|EQP|02836205893|-|+4
SOUTHERN FISHERY INDUSTRIES COMPANY LTD., (SOUTH VINA)|Viet Nam|-|PAN|+842923744150|BRC,EUcode,HACCP,HALAL|JP,CN+11
SOUTHERN STAR TST CO., LTD.|Viet Nam|-|OTH|(028)35268109|FDAcode|-
STAPIMEX|Viet Nam|-|SHR|02993822164|-|-
Taika Seafood Corporation|-|-|SHR|0913103660|ASC,BAP,BRC,BSCI,HACCP|-
TASIFISH JSC|Viet Nam|-|PAN|0794444255|ASC,BRC,EUcode,HACCP,H|CN+8
TDICC|Viet Nam|-|-|02873012363|-|-
Techik Instrument (Shanghai) Co., Ltd.|China|-|EQP|86-21-60671088|HACCP,ISO|US,VN+6
TECHVALUE|Norway|-|EQP|0937104968|-|+6
TEN TRAI CO., LTD|Viet Nam|-|SEA,SQD,TUN|0909186410|EUcode,FDAcode,HACCP|KR,JP,CN,US+5
Test Dịch vụ|-|-|-|0352574849|-|-
