month,hs,label,country,import_usd,import_kg,usd_per_kg,cum_usd,cum_kg,collected
2025-06,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,,,,33,3,2026-08-10
2025-06,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,1312709,95840,13.70,6810757,491724,2026-08-10
2025-06,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,75262,6000,12.54,75262,6000,2026-08-10
2025-06,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,142753,9400,15.19,148621,9900,2026-08-10
2025-06,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2491442,196259,12.69,12169091,952979,2026-08-10
2025-07,0301921000,실장어(활어),CN,,,,4388694,470,2026-08-10
2025-07,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-07,0301929090,뱀장어(기타/기타),CN,1950017,153946,12.67,12019364,915200,2026-08-10
2025-07,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,14,2,7.00,47,6,2026-08-10
2025-07,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,1680343,114420,14.69,8491100,606144,2026-08-10
2025-07,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,12324,1000,12.32,87586,7000,2026-08-10
2025-07,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,149738,8120,18.44,298359,18020,2026-08-10
2025-07,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,3431847,284235,12.07,15600938,1237215,2026-08-10
2025-08,0301921000,실장어(활어),CN,,,,4388694,470,2026-08-10
2025-08,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-08,0301929090,뱀장어(기타/기타),CN,1943704,153240,12.68,13963068,1068440,2026-08-10
2025-08,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,22,5,4.40,69,11,2026-08-10
2025-08,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,653866,42730,15.30,9144966,648874,2026-08-10
2025-08,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,160227,13000,12.33,247813,20000,2026-08-10
2025-08,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,124625,9500,13.12,422984,27520,2026-08-10
2025-08,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2998301,258915,11.58,18599239,1496130,2026-08-10
2025-09,0301921000,실장어(활어),CN,,,,4388694,470,2026-08-10
2025-09,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-09,0301929090,뱀장어(기타/기타),CN,1298080,101971,12.73,15261148,1170411,2026-08-10
2025-09,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,,,,69,11,2026-08-10
2025-09,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,1022321,72870,14.03,10167287,721744,2026-08-10
2025-09,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,191630,15500,12.36,439443,35500,2026-08-10
2025-09,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,8346,800,10.43,431330,28320,2026-08-10
2025-09,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2931684,251287,11.67,21530923,1747418,2026-08-10
2025-10,0301921000,실장어(활어),CN,,,,4388694,470,2026-08-10
2025-10,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-10,0301929090,뱀장어(기타/기타),CN,965445,80581,11.98,16226593,1250992,2026-08-10
2025-10,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,5,2,2.50,74,13,2026-08-10
2025-10,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,979144,65180,15.02,11146431,786924,2026-08-10
2025-10,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,211905,17000,12.46,651348,52500,2026-08-10
2025-10,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,98059,7690,12.75,529389,36010,2026-08-10
2025-10,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,1412989,114535,12.34,22943912,1861953,2026-08-10
2025-11,0301921000,실장어(활어),CN,,,,4388694,470,2026-08-10
2025-11,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-11,0301929090,뱀장어(기타/기타),CN,721321,60285,11.97,16947914,1311277,2026-08-10
2025-11,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,57,16,3.56,131,30,2026-08-10
2025-11,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,655958,51360,12.77,11802389,838284,2026-08-10
2025-11,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,12814,1000,12.81,664162,53500,2026-08-10
2025-11,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,115393,10000,11.54,644782,46010,2026-08-10
2025-11,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2283388,185177,12.33,25227300,2047130,2026-08-10
2025-12,0301921000,실장어(활어),CN,,,,4388694,470,2026-08-10
2025-12,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-12,0301929090,뱀장어(기타/기타),CN,339214,31951,10.62,17287128,1343228,2026-08-10
2025-12,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,35,3,11.67,166,34,2026-08-10
2025-12,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,633463,46920,13.50,12435852,885204,2026-08-10
2025-12,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,195269,16270,12.00,859431,69770,2026-08-10
2025-12,0305520000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치(건조)",CN,16,1,16.00,16,1,2026-08-10
2025-12,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,21447,2000,10.72,666229,48010,2026-08-10
2025-12,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2258377,186012,12.14,27485677,2233142,2026-08-10
2026-01,0301929090,뱀장어(기타/기타),CN,122904,13084,9.39,122904,13084,2026-08-10
2026-01,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,30,6,5.00,30,6,2026-08-10
2026-01,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,478253,31500,15.18,478253,31500,2026-08-10
2026-01,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,14637,1500,9.76,14637,1500,2026-08-10
2026-01,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2562181,218823,11.71,2562181,218823,2026-08-10
2026-02,0301929090,뱀장어(기타/기타),CN,190835,19323,9.88,313739,32407,2026-08-10
2026-02,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,,,,30,6,2026-08-10
2026-02,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,261156,21110,12.37,739409,52610,2026-08-10
2026-02,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,35683,3500,10.20,50320,5000,2026-08-10
2026-02,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,1738197,150381,11.56,4300378,369204,2026-08-10
2026-03,0301929090,뱀장어(기타/기타),CN,553029,49866,11.09,866768,82273,2026-08-10
2026-03,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,,,,30,6,2026-08-10
2026-03,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,509278,43600,11.68,1248687,96210,2026-08-10
2026-03,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,80060,7000,11.44,80060,7000,2026-08-10
2026-03,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,20048,2000,10.02,70368,7000,2026-08-10
2026-03,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,1536584,141052,10.89,5836962,510256,2026-08-10
2026-04,0301929090,뱀장어(기타/기타),CN,389117,38936,9.99,1255885,121209,2026-08-10
2026-04,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,24,3,8.00,54,10,2026-08-10
2026-04,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,526919,50183,10.50,1775606,146393,2026-08-10
2026-04,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,,,,80060,7000,2026-08-10
2026-04,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,22131,2202,10.05,92499,9202,2026-08-10
2026-04,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2883056,256250,11.25,8720018,766507,2026-08-10
2026-05,0301929090,뱀장어(기타/기타),CN,23242,2147,10.83,1279127,123356,2026-08-19
2026-05,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,60,5,12.00,114,15,2026-08-19
2026-05,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,393935,33050,11.92,2169541,179443,2026-08-19
2026-05,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,9912,1000,9.91,89972,8000,2026-08-19
2026-05,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,20047,2000,10.02,112546,11202,2026-08-19
2026-05,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,3061630,272640,11.23,11781648,1039147,2026-08-19
2026-06,0301929090,뱀장어(기타/기타),CN,165301,18539,8.92,1444428,141895,2026-08-19
2026-06,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,108,23,4.70,222,39,2026-08-19
2026-06,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,436163,37790,11.54,2605704,217233,2026-08-19
2026-06,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,,,,89972,8000,2026-08-19
2026-06,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,20046,2000,10.02,132592,13202,2026-08-19
2026-06,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2802803,260729,10.75,14584451,1299876,2026-08-19
2026-07,0301929090,뱀장어(기타/기타),CN,205440,24460,8.40,1649868,166355,2026-08-19
2026-07,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,30,3,10.00,252,42,2026-08-19
2026-07,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,620380,48890,12.69,3226084,266123,2026-08-19
2026-07,0304931000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 연육(필레(fillet)/냉동)",CN,570,120,4.75,570,120,2026-08-19
2026-07,0304939000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/냉동)",CN,71805,7300,9.84,161777,15300,2026-08-19
2026-07,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,43101,4500,9.58,175693,17702,2026-08-19
2026-07,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2970650,275918,10.77,17555101,1575795,2026-08-19
